,STATE,Total.Seats,"Total.Senate
",Senate.Dem,Senate.Rep,"Senate
other","Total
House",House.Dem,House.Rep,"House
other",Leg.Control,Gov.Party,State.Control,Year
17,Louisiana,144,39,12,27,,105,33,69,"2, 1v",Rep,Dem,Divided,2023
18,Maine,186,35,22,13,,151,82,67,2,Dem,Dem,Dem,2023
19,Maryland,188,47,33,13,1v,141,101,39,1v,Dem,Dem,Dem,2023
20,Massachusetts,200,40,37,3,,160,134,25,1,Dem,Dem,Dem,2023
21,Michigan,148,38,20,18,,110,56,54,,Dem,Dem,Dem,2023
22,Minnesota,201,67,34,33,,134,70,64,,Dem,Dem,Dem,2023
23,Mississippi,174,52,16,36,,122,42,76,"3, 1v",Rep,Rep,Rep,2023
24,Missouri,197,34,10,24,,163,52,111,,Rep,Rep,Rep,2023
25,Montana,150,50,16,34,,100,32,68,,Rep,Rep,Rep,2023
26,Nebraska,49,49,,,49,Unicameral - nonpartisan,,,,,Rep,,2023
27,Nevada,63,21,13,8,,42,28,14,,Dem,Rep,Divided,2023
28,New Hampshire,424,24,10,14,,400,197,201,2v,Rep,Rep,Rep,2023
29,New Jersey,120,40,25,15,,80,46,34,,Dem,Dem,Dem,2023
30,New Mexico,112,42,27,15,,70,45,25,,Dem,Dem,Dem,2023
31,New York,213,63,42,21,,150,102,48,,Dem,Dem,Dem,2023
32,North Carolina,170,50,20,30,,120,49,71,,Rep,Dem,Divided,2023
33,North Dakota,141,47,4,43,,94,12,82,,Rep,Rep,Rep,2023
34,Ohio,132,33,7,26,,99,32,65,2v,Rep,Rep,Rep,2023
35,Oklahoma,149,48,8,40,,101,20,81,,Rep,Rep,Rep,2023
36,Oregon,90,30,17,12,1,60,35,25,,Dem,Dem,Dem,2023
37,Pennsylvania,253,50,22,28,,203,102,101,,Divided,Dem,Divided,2023
38,Rhode Island,113,38,33,5,,75,64,10,1,Dem,Dem,Dem,2023
39,South Carolina,170,46,16,30,,124,36,88,,Rep,Rep,Rep,2023
40,South Dakota,105,35,4,31,,70,7,63,,Rep,Rep,Rep,2023
41,Tennessee,132,33,6,27,,99,24,75,,Rep,Rep,Rep,2023
42,Texas,181,31,12,19,,150,64,86,,Rep,Rep,Rep,2023
43,Utah,104,29,6,23,,75,14,61,,Rep,Rep,Rep,2023
44,Vermont,180,30,22,7,1,150,104,38,8,Dem,Rep,Divided,2023
45,Virginia,140,40,22,18,,100,48,52,,Divided,Rep,Divided,2023
46,Washington,147,49,29,20,,98,58,40,,Dem,Dem,Dem,2023
47,West Virginia,134,34,3,31,,100,12,88,,Rep,Rep,Rep,2023
48,Wisconsin,132,33,11,21,1v,99,35,64,,Rep,Dem,Divided,2023
49,Wyoming,93,31,2,29,,62,5,57,,Rep,Rep,Rep,2023
0,Alabama,140,35,8,27,,105,29,76,,Rep,Rep,Rep,2024
1,Alaska,60,20,9,11,,40,14,21,,Rep,Rep,Rep,2024
2,Arizona,90,30,13,17,,60,27,33,,Rep,Dem,Divided,2024
3,Arkansas,135,35,6,29,,100,19,81,,Rep,Rep,Rep,2024
4,California,120,40,30,10,,80,60,20,,Dem,Dem,Dem,2024
5,Colorado,100,35,23,12,,65,44,21,,Dem,Dem,Dem,2024
6,Connecticut,187,36,25,11,,151,102,49,,Dem,Dem,Dem,2024
7,Delaware,62,21,15,6,,41,27,14,,Dem,Dem,Dem,2024
8,Florida,160,40,12,28,,120,35,85,,Rep,Rep,Rep,2024
9,Georgia,236,56,23,33,,180,80,100,,Rep,Rep,Rep,2024
10,Hawaii,76,25,22,3,,51,42,9,,Dem,Dem,Dem,2024
11,Idaho,105,35,6,29,,70,9,61,,Rep,Rep,Rep,2024
12,Illinois,177,59,40,19,,118,78,40,,Dem,Dem,Dem,2024
13,Indiana,150,50,10,40,,100,30,70,,Rep,Rep,Rep,2024
14,Iowa,150,50,15,35,,100,33,67,,Rep,Rep,Rep,2024
15,Kansas,165,40,9,31,,125,37,88,,Rep,Dem,Divided,2024
16,Kentucky,138,38,7,30,,100,20,80,,Rep,Dem,Divided,2024
17,Louisiana,144,39,11,28,,105,32,73,,Rep,Rep,Rep,2024
18,Maine,186,35,20,15,,151,76,73,,Dem,Dem,Dem,2024
19,Maryland,188,47,34,13,,141,102,39,,Dem,Dem,Dem,2024
20,Massachusetts,200,40,35,5,,160,134,25,,Dem,Dem,Dem,2024
21,Michigan,148,38,20,18,,110,52,58,,Divided,Dem,Divided,2024
22,Minnesota,201,67,34,33,,134,67,67,,Divided,Dem,Divided,2024
23,Mississippi,174,52,16,36,,122,41,79,,Rep,Rep,Rep,2024
24,Missouri,197,34,10,24,,163,52,111,,Rep,Rep,Rep,2024
25,Montana,150,50,18,32,,100,42,58,,Rep,Rep,Rep,2024
26,Nebraska,49,49,0,0,,Unicameral - nonpartisan,,,,,Rep,,2024
27,Nevada,63,21,13,8,,42,27,15,,Dem,Rep,Divided,2024
28,New Hampshire,424,24,8,16,,400,178,222,,Rep,Rep,Rep,2024
29,New Jersey,120,40,25,15,,80,52,28,,Dem,Dem,Dem,2024
30,New Mexico,112,42,26,16,,70,44,26,,Dem,Dem,Dem,2024
31,New York,213,63,41,22,,150,103,47,,Dem,Dem,Dem,2024
32,North Carolina,170,50,20,30,,120,49,71,,Rep,Dem,Divided,2024
33,North Dakota,141,47,5,42,,94,11,83,,Rep,Rep,Rep,2024
34,Ohio,132,33,9,24,,99,34,65,,Rep,Rep,Rep,2024
35,Oklahoma,149,48,8,40,,101,20,81,,Rep,Rep,Rep,2024
36,Oregon,90,30,18,12,,60,36,24,,Dem,Dem,Dem,2024
37,Pennsylvania,253,50,22,28,,203,102,101,,Divided,Dem,Divided,2024
38,Rhode Island,113,38,34,4,,75,64,10,,Dem,Dem,Dem,2024
39,South Carolina,170,46,12,34,,124,36,88,,Rep,Rep,Rep,2024
40,South Dakota,105,35,3,32,,70,6,64,,Rep,Rep,Rep,2024
41,Tennessee,132,33,6,27,,99,24,75,,Rep,Rep,Rep,2024
42,Texas,181,31,11,20,,150,62,88,,Rep,Rep,Rep,2024
43,Utah,104,29,6,23,,75,14,61,,Rep,Rep,Rep,2024
44,Vermont,180,30,16,13,,150,87,56,,Dem,Rep,Divided,2024
45,Virginia,140,40,21,19,,100,51,49,,Dem,Rep,Divided,2024
46,Washington,147,49,30,19,,98,59,39,,Dem,Dem,Dem,2024
47,West Virginia,134,34,2,32,,100,9,91,,Rep,Rep,Rep,2024
48,Wisconsin,132,33,15,18,,99,45,54,,Rep,Dem,Divided,2024
49,Wyoming,93,31,2,29,,62,6,56,,Rep,Rep,Rep,2024
